"section"	"question"	"item"	"type"	"ID"	"description"
"IT"	15	2	"item"	"IT15_02"	"Praxis des Bergdoktors"
"IT"	15	3	"item"	"IT15_03"	"Gasthof zum Wilden Kaiser"
"IT"	15	4	"item"	"IT15_04"	"Krankenhaus"
"IT"	15	5	"item"	"IT15_05"	"Dorfplatz und Kirche"
"IT"	15	6	"item"	"IT15_06"	"Apotheke"
"IT"	15	7	"item"	"IT15_07"	"Hintersteiner See"
"IT"	13		"question"	"IT13"	"st_74_Wk-anzahl"
"IT"	13	1	"item"	"IT13_01"	"1 mal"
"IT"	13	2	"item"	"IT13_02"	"2 mal"
"IT"	13	3	"item"	"IT13_03"	"3 mal"
"IT"	13	4	"item"	"IT13_04"	"4 mal"
"IT"	13	5	"item"	"IT13_05"	"Mehr als 4 mal"
"IT"	13	6	"item"	"IT13_06"	"Kein mal"
"IT"	14		"question"	"IT14"	"st_75_andere_filmorte"
"IT"	14	1	"item"	"IT14_01"	"Nein"
"IT"	14	2	"item"	"IT14_02"	"Ja"
"IT"	16		"question"	"IT16"	"de_40_als erstes"
"IT"	16	1	"item"	"IT16_01"	"Die Bergdoktor-Filmtouristen an den Wilden Kaiser."
"IT"	16	2	"item"	"IT16_02"	"Die Vermarktung des Wilden Kaiser als Bergdoktor-Drehstandort."
"IT"	16	3	"item"	"IT16_03"	"Vermarktung und Filmtouristen kamen ungefähr zur gleichen Zeit."
"IT"	17		"question"	"IT17"	"de_42_strategie"
"IT"	17	1	"item"	"IT17_01"	"Nein"
"IT"	17	2	"item"	"IT17_02"	"Ja"
"IT"	18		"question"	"IT18"	"de_43_vorgaben de"
"IT"	18	1	"item"	"IT18_01"	
"IT"	19		"question"	"IT19"	"de_44_stil annäherung"
"IT"	19	1	"item"	"IT19_01"	"Screentouristen"
"IT"	19	2	"item"	"IT19_02"	"Allgemeine Touristen"
"IT"	19	3	"item"	"IT19_03"	"TV-Produktion"
"IT"	19	4	"item"	"IT19_04"	"Eigener allgemeiner Social Media-Stil"
"IT"	19	5	"item"	"IT19_05"	"Aktuellen Trends"
"IT"	19	6	"item"	"IT19_06"	"Anderes"
"IT"	20		"question"	"IT20"	"de_45_Jahreszeiten"
"IT"	20	1	"item"	"IT20_01"	"Frühling"
"IT"	20	2	"item"	"IT20_02"	"Sommer"
"IT"	20	3	"item"	"IT20_03"	"Herbst"
"IT"	20	4	"item"	"IT20_04"	"Winter"
"IT"	21		"question"	"IT21"	"de_53_ermutigen"
"IT"	21	1	"item"	"IT21_01"	"Ermutigen Sie Ihre Touristen dazu Fotos bzw. Beiträge von den Drehorten der Serie ""Der Bergdoktor"" zu machen und sie auf Instagram zu veröffentlichen?"
"IT"	21	2	"item"	"IT21_02"	"Ermutigen Sie die Film-Produktion und ihre Mitarbeiter:innen dazu Fotos bzw. Beiträge von den Drehorten der Serie ""Der Bergdoktor"" zu machen und sie auf Instagram zu veröffentlichen?"
"IT"	22		"question"	"IT22"	"de_55_image wk"
"IT"	22	1	"item"	"IT22_01"	
"IT"	23		"question"	"IT23"	"de_59_erkenntnisse"
"IT"	23	1	"item"	"IT23_01"	"Verändern"
"IT"	23	2	"item"	"IT23_02"	"Erweitern"
"IT"	23	3	"item"	"IT23_03"	"Verbessern"
"IT"	24		"question"	"IT24"	"de_60_beliebte Drehorte"
"IT"	24	1	"item"	"IT24_01"	"Gruberhof (Elternhaus/Bauernhof)"
"IT"	24	2	"item"	"IT24_02"	"Praxis des Bergdoktors"
"IT"	24	3	"item"	"IT24_03"	"Gasthof zum Wilden Kaiser"
"IT"	24	4	"item"	"IT24_04"	"Krankenhaus"
"IT"	24	5	"item"	"IT24_05"	"Dorfplatz und Kirche"
"IT"	24	6	"item"	"IT24_06"	"Apotheke"
"IT"	24	7	"item"	"IT24_07"	"Hintersteiner See"
"IT"	25		"question"	"IT25"	"de_62_beliebte Drehorte SoMe"
"IT"	25	1	"item"	"IT25_01"	"Gruberhof (Elternhaus/Bauernhof)"
"IT"	25	2	"item"	"IT25_02"	"Praxis des Bergdoktors"
"IT"	25	3	"item"	"IT25_03"	"Gasthof zum Wilden Kaiser"
"IT"	25	4	"item"	"IT25_04"	"Krankenhaus"
"IT"	25	5	"item"	"IT25_05"	"Dorfplatz und Kirche"
"IT"	25	6	"item"	"IT25_06"	"Apotheke"
"IT"	25	7	"item"	"IT25_07"	"Hintersteiner See"
"IT"	26		"question"	"IT26"	"de_63_Fantage"
"IT"	26	1	"item"	"IT26_01"	
"IT"	27		"question"	"IT27"	"de_82_vr/ar"
"IT"	27	1	"item"	"IT27_01"	"Es gab Überlegungen in der Vergangenheit."
"IT"	27	2	"item"	"IT27_02"	"Es gibt aktuell aktive Projekte."
"IT"	27	3	"item"	"IT27_03"	"Es gibt Pläne für die Zukunft."
"IT"	27	4	"item"	"IT27_04"	"Darüber haben wir uns keinerlei Gedanken gemacht."
"IT"	28		"question"	"IT28"	"pr_38_vorgaben de"
"IT"	28	1	"item"	"IT28_01"	
"IT"	29		"question"	"IT29"	"pr_47_vorgaben pr"
"IT"	29	1	"item"	"IT29_01"	
"IT"	33		"question"	"IT33"	"pr_61_beliebte Drehorte"
